키워드 ID,키워드,광고그룹 이름,사유
nkw-a001-01-000008542821263,동래구동래사적공원오네뜨,부울경_D_입주예정,지역중복(대표명이 이미 단 지역을 접두로 또 붙임) · 대표명=동래사적공원 오네뜨
nkw-a001-01-000008542821260,동래동래사적공원오네뜨,부울경_D_입주예정,지역중복(대표명이 이미 단 지역을 접두로 또 붙임) · 대표명=동래사적공원 오네뜨
nkw-a001-01-000008542822708,수영구수영2재개발,부울경_E_정비사업_2,지역중복(대표명이 이미 단 지역을 접두로 또 붙임) · 대표명=수영2 재개발
nkw-a001-01-000008542823155,수영구수영아파트가로주택정비,부울경_E_정비사업_2,지역중복(대표명이 이미 단 지역을 접두로 또 붙임) · 대표명=수영아파트 가로주택정비
nkw-a001-01-000008542823119,수영수영1재개발,부울경_E_정비사업_2,지역중복(대표명이 이미 단 지역을 접두로 또 붙임) · 대표명=수영1 재개발
nkw-a001-01-000008542822705,수영수영2재개발,부울경_E_정비사업_2,지역중복(대표명이 이미 단 지역을 접두로 또 붙임) · 대표명=수영2 재개발
nkw-a001-01-000008542823152,수영수영아파트가로주택정비,부울경_E_정비사업_2,지역중복(대표명이 이미 단 지역을 접두로 또 붙임) · 대표명=수영아파트 가로주택정비
nkw-a001-01-000008542820849,창원창원한신더휴메가센텀,부울경_D_입주예정,지역중복(대표명이 이미 단 지역을 접두로 또 붙임) · 대표명=창원 한신더휴 메가센텀
nkw-a001-01-000008542820884,함안군함안가야휴니온아르떼,부울경_D_입주예정,지역중복(대표명이 이미 단 지역을 접두로 또 붙임) · 대표명=함안가야 휴니온아르떼
nkw-a001-01-000008542820881,함안함안가야휴니온아르떼,부울경_D_입주예정,지역중복(대표명이 이미 단 지역을 접두로 또 붙임) · 대표명=함안가야 휴니온아르떼
